channel_id,year,video_count
UC3qWSgyoIB-pyGhjTBUwQww,2023,133
UC3qWSgyoIB-pyGhjTBUwQww,2024,176
UC3qWSgyoIB-pyGhjTBUwQww,2025,63
UC3qWSgyoIB-pyGhjTBUwQww,2026,12
UC3qnb4Sgo4QtiOi8iS7jOsQ,2024,172
UC3qnb4Sgo4QtiOi8iS7jOsQ,2025,334
UC3qnb4Sgo4QtiOi8iS7jOsQ,2026,167
UC3rL0_fwhvTx0zpFj4pn5Dw,2024,143
UC3rL0_fwhvTx0zpFj4pn5Dw,2025,70
UC3rL0_fwhvTx0zpFj4pn5Dw,2026,21
UC3sqLdjV0uxXfAzLE-fJeXw,2023,83
UC3sqLdjV0uxXfAzLE-fJeXw,2024,55
UC3sqLdjV0uxXfAzLE-fJeXw,2025,3
UC4194MxDKFwBEFtaFbwwM7g,2022,1
UC4194MxDKFwBEFtaFbwwM7g,2023,1
UC4194MxDKFwBEFtaFbwwM7g,2025,92
UC4194MxDKFwBEFtaFbwwM7g,2026,39
UC42syJbZL4oBacK-QFTie6w,2022,10
UC42syJbZL4oBacK-QFTie6w,2023,27
UC42syJbZL4oBacK-QFTie6w,2024,45
UC42syJbZL4oBacK-QFTie6w,2025,186
UC42syJbZL4oBacK-QFTie6w,2026,218
UC48D7EILUGrBeffDrXXJAIQ,2024,74
UC48D7EILUGrBeffDrXXJAIQ,2025,26
UC4CQvHd-rReEpxE43dluLYQ,2025,39
UC4CQvHd-rReEpxE43dluLYQ,2026,20
UC4Ceq8atGdQu58Dn3YKF1Ig,2021,21
UC4Ceq8atGdQu58Dn3YKF1Ig,2022,91
UC4Ceq8atGdQu58Dn3YKF1Ig,2023,58
UC4Ceq8atGdQu58Dn3YKF1Ig,2024,42
UC4Ceq8atGdQu58Dn3YKF1Ig,2025,28
UC4Ceq8atGdQu58Dn3YKF1Ig,2026,39
UC4EiUVIMjw-SE6_6Kt0Mk-g,2024,41
UC4EiUVIMjw-SE6_6Kt0Mk-g,2025,173
UC4EiUVIMjw-SE6_6Kt0Mk-g,2026,214
UC4IVinDrDxJGqolrsYSwnnw,2025,122
UC4IVinDrDxJGqolrsYSwnnw,2026,138
UC4JQ9apR_7oHuqn05Zzy1KA,2022,5
UC4JQ9apR_7oHuqn05Zzy1KA,2023,22
UC4JQ9apR_7oHuqn05Zzy1KA,2024,1
UC4JQ9apR_7oHuqn05Zzy1KA,2025,249
UC4JQ9apR_7oHuqn05Zzy1KA,2026,190
UC4P6ez9eO2Lv8Jun5zXaVMg,2021,4
UC4P6ez9eO2Lv8Jun5zXaVMg,2022,4
UC4P6ez9eO2Lv8Jun5zXaVMg,2023,11
UC4P6ez9eO2Lv8Jun5zXaVMg,2024,53
UC4P6ez9eO2Lv8Jun5zXaVMg,2025,108
UC4P6ez9eO2Lv8Jun5zXaVMg,2026,44
UC4QiJt8a2VjOnwI-0zzMsKA,2020,8
UC4QiJt8a2VjOnwI-0zzMsKA,2021,7
UC4QiJt8a2VjOnwI-0zzMsKA,2025,1
UC4QwUkFO1_JJe_TTN5jYoyA,2021,8
UC4QwUkFO1_JJe_TTN5jYoyA,2022,2
UC4QwUkFO1_JJe_TTN5jYoyA,2023,4
UC4QwUkFO1_JJe_TTN5jYoyA,2024,13
UC4QwUkFO1_JJe_TTN5jYoyA,2025,99
UC4QwUkFO1_JJe_TTN5jYoyA,2026,77
UC4Ty5GzSA5YjeXN-DqPIWfA,2025,25
UC4Ty5GzSA5YjeXN-DqPIWfA,2026,113
UC4fR2AniBIratHesKgQyHiw,2024,22
UC4fR2AniBIratHesKgQyHiw,2025,42
UC4fR2AniBIratHesKgQyHiw,2026,24
UC4g_aNYnbZ564FUrzHvoFQA,2023,62
UC4g_aNYnbZ564FUrzHvoFQA,2024,197
UC4g_aNYnbZ564FUrzHvoFQA,2025,104
UC4gflcsvblzsnCtNddgDSQA,2025,90
UC4gflcsvblzsnCtNddgDSQA,2026,77
UC4kKR_Kstzo__dyqZa-95Ig,2023,3
UC4kKR_Kstzo__dyqZa-95Ig,2024,62
UC4kKR_Kstzo__dyqZa-95Ig,2025,96
UC4kKR_Kstzo__dyqZa-95Ig,2026,68
UC4kzIt5iyX7QC27TTKfUnXA,2024,16
UC4kzIt5iyX7QC27TTKfUnXA,2025,167
UC4kzIt5iyX7QC27TTKfUnXA,2026,73
UC4nsIGJlPXdVHJ61TQdEzfQ,2024,253
UC4nsIGJlPXdVHJ61TQdEzfQ,2025,255
UC4nsIGJlPXdVHJ61TQdEzfQ,2026,192
UC4plXkAtJdWilZ7-YqWT7Zw,2021,125
UC4plXkAtJdWilZ7-YqWT7Zw,2022,226
UC4plXkAtJdWilZ7-YqWT7Zw,2023,68
UC4plXkAtJdWilZ7-YqWT7Zw,2025,3
UC4sCp51x2lBXf7x2Uy_fj_A,2024,91
UC4sCp51x2lBXf7x2Uy_fj_A,2025,115
UC4sCp51x2lBXf7x2Uy_fj_A,2026,60
UC4t1p_Eg0GcjdrdctUIAaug,2024,104
UC4t1p_Eg0GcjdrdctUIAaug,2025,84
UC4t1p_Eg0GcjdrdctUIAaug,2026,61
UC4x2o7dyxOqFLoA9NKxf0Iw,2023,64
UC4x2o7dyxOqFLoA9NKxf0Iw,2024,131
UC4x2o7dyxOqFLoA9NKxf0Iw,2025,90
UC4x2o7dyxOqFLoA9NKxf0Iw,2026,7
UC4zIwNmfURhIO5Pj-ccmKBA,2021,180
UC4zIwNmfURhIO5Pj-ccmKBA,2022,118
UC4zIwNmfURhIO5Pj-ccmKBA,2023,49
UC4zIwNmfURhIO5Pj-ccmKBA,2024,34
UC51b_p9sAVzl9PIwnVe0Wnw,2023,131
UC51b_p9sAVzl9PIwnVe0Wnw,2024,262
UC51b_p9sAVzl9PIwnVe0Wnw,2025,202
UC51b_p9sAVzl9PIwnVe0Wnw,2026,105
UC52dzPlsz8jN2hIevufKCHA,2025,37
UC52dzPlsz8jN2hIevufKCHA,2026,68
UC5FZBzrjJ0DQwkP6D91M-0g,2025,1
UC5HQtSunzJjhS-XcBdbUC6Q,2020,61
UC5HQtSunzJjhS-XcBdbUC6Q,2021,2
UC5HQtSunzJjhS-XcBdbUC6Q,2022,29
UC5HQtSunzJjhS-XcBdbUC6Q,2023,82
UC5HQtSunzJjhS-XcBdbUC6Q,2024,45
UC5HQtSunzJjhS-XcBdbUC6Q,2025,98
UC5HQtSunzJjhS-XcBdbUC6Q,2026,34
UC5I-HucSFSRsYl3HYMxtgEA,2022,57
UC5I-HucSFSRsYl3HYMxtgEA,2023,83
UC5I-HucSFSRsYl3HYMxtgEA,2024,77
UC5I-HucSFSRsYl3HYMxtgEA,2025,100
UC5I-HucSFSRsYl3HYMxtgEA,2026,4
UC5JlD3YtvbCaAeU3TWSpW6A,2021,50
UC5JlD3YtvbCaAeU3TWSpW6A,2022,60
UC5JlD3YtvbCaAeU3TWSpW6A,2023,23
UC5JlD3YtvbCaAeU3TWSpW6A,2024,19
UC5JlD3YtvbCaAeU3TWSpW6A,2025,16
UC5JlD3YtvbCaAeU3TWSpW6A,2026,33
UC5N4WI1wHPrffHY-r1FtnIw,2021,5
UC5N4WI1wHPrffHY-r1FtnIw,2022,2
UC5N4WI1wHPrffHY-r1FtnIw,2023,7
UC5N4WI1wHPrffHY-r1FtnIw,2024,1
UC5NrMFPWAtcfNH8ibcBlWhQ,2024,2
UC5NrMFPWAtcfNH8ibcBlWhQ,2025,64
UC5NrMFPWAtcfNH8ibcBlWhQ,2026,15
UC5NtCgUU-vQC_GrtzSUeSZA,2024,83
UC5NtCgUU-vQC_GrtzSUeSZA,2025,99
UC5NtCgUU-vQC_GrtzSUeSZA,2026,44
UC5OXcxq6ab6RlhHqNyHws_w,2021,38
UC5OXcxq6ab6RlhHqNyHws_w,2022,59
UC5OXcxq6ab6RlhHqNyHws_w,2023,16
UC5OXcxq6ab6RlhHqNyHws_w,2024,14
UC5OXcxq6ab6RlhHqNyHws_w,2025,8
UC5OXcxq6ab6RlhHqNyHws_w,2026,2
UC5RdVorohRmiGKHN4VHYZJg,2022,147
UC5RdVorohRmiGKHN4VHYZJg,2023,160
