sample_id,channel_id,video_id,year,video_published_at,time_bin,sampling_reason,t5_capture_count,t5_output_file
smp_UCompe4f_2024_P8-g7iV5rQk,UCompe4fS2oUss8CGTuhOSxA,P8-g7iV5rQk,2024,2024-03-23T03:00:14+00:00,bin_2_mar_apr,baseline_stratified,91,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCompe4fS2oUss8CGTuhOSxA\P8-g7iV5rQk.parquet
smp_UCpGtwNm_2024_0DLfcXGzrhA,UCpGtwNmbOtgmcKIY81MIX_w,0DLfcXGzrhA,2024,2024-08-13T11:00:02+00:00,bin_4_jul_aug,baseline_stratified,100,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCpGtwNmbOtgmcKIY81MIX_w\0DLfcXGzrhA.parquet
smp_UCpGtwNm_2024_2KIvmO16gNg,UCpGtwNmbOtgmcKIY81MIX_w,2KIvmO16gNg,2024,2024-10-04T11:00:02+00:00,bin_5_sep_oct,baseline_stratified,100,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCpGtwNmbOtgmcKIY81MIX_w\2KIvmO16gNg.parquet
smp_UCpGtwNm_2024_PhoDu3zAhcI,UCpGtwNmbOtgmcKIY81MIX_w,PhoDu3zAhcI,2024,2024-05-11T06:25:07+00:00,bin_3_may_jun,baseline_stratified,97,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCpGtwNmbOtgmcKIY81MIX_w\PhoDu3zAhcI.parquet
smp_UCrIs26b_2024_JMnQnzt1F6M,UCrIs26bEKOvA_lRnO2Hgscw,JMnQnzt1F6M,2024,2024-07-23T13:47:10+00:00,bin_4_jul_aug,baseline_stratified,98,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCrIs26bEKOvA_lRnO2Hgscw\JMnQnzt1F6M.parquet
smp_UCrYkQnb_2024_nmv8MsmOobs,UCrYkQnbL_OiYyGuiZyvcO7g,nmv8MsmOobs,2024,2024-02-16T12:00:07+00:00,bin_1_jan_feb,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCrYkQnbL_OiYyGuiZyvcO7g\nmv8MsmOobs.parquet
smp_UCrYkQnb_2024_wCT-4a-YIMc,UCrYkQnbL_OiYyGuiZyvcO7g,wCT-4a-YIMc,2024,2024-03-20T11:00:07+00:00,bin_2_mar_apr,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCrYkQnbL_OiYyGuiZyvcO7g\wCT-4a-YIMc.parquet
smp_UCtGhO6z_2024_6bkQJm_bhic,UCtGhO6z6GxqtBZ4gP-3rUpA,6bkQJm_bhic,2024,2024-10-20T09:44:24+00:00,bin_5_sep_oct,baseline_stratified,95,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCtGhO6z6GxqtBZ4gP-3rUpA\6bkQJm_bhic.parquet
smp_UCuZ1ajv_2024_fWKHAD3KpUA,UCuZ1ajvlGFUMCHZAPdetKHw,fWKHAD3KpUA,2024,2024-12-31T12:00:06+00:00,bin_6_nov_dec,baseline_stratified,96,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCuZ1ajvlGFUMCHZAPdetKHw\fWKHAD3KpUA.parquet
smp_UCuZ1ajv_2024_snjA7P2WF3A,UCuZ1ajvlGFUMCHZAPdetKHw,snjA7P2WF3A,2024,2024-10-19T11:59:06+00:00,bin_5_sep_oct,baseline_stratified,91,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCuZ1ajvlGFUMCHZAPdetKHw\snjA7P2WF3A.parquet
smp_UC8-JXAc_2025_ge6M63gegd4,UC8-JXAccuh7DvI_A_lObw-w,ge6M63gegd4,2025,2025-05-02T12:01:15+00:00,bin_3_may_jun,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UC8-JXAccuh7DvI_A_lObw-w\ge6M63gegd4.parquet
smp_UCAr4U_H_2025_y6h-T-zMMSo,UCAr4U_HGMYXn1EZjdWiGSLQ,y6h-T-zMMSo,2025,2025-03-20T12:23:46+00:00,bin_2_mar_apr,baseline_stratified,85,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCAr4U_HGMYXn1EZjdWiGSLQ\y6h-T-zMMSo.parquet
smp_UCC4Wb_x_2025_Dzs_ycIYZJU,UCC4Wb_x57Ks43GRJ6x_wT5Q,Dzs_ycIYZJU,2025,2025-04-11T10:15:10+00:00,bin_2_mar_apr,baseline_stratified,96,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCC4Wb_x57Ks43GRJ6x_wT5Q\Dzs_ycIYZJU.parquet
smp_UCC4Wb_x_2025_UiOUOWDd3TM,UCC4Wb_x57Ks43GRJ6x_wT5Q,UiOUOWDd3TM,2025,2025-01-29T10:54:46+00:00,bin_1_jan_feb,baseline_stratified,96,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCC4Wb_x57Ks43GRJ6x_wT5Q\UiOUOWDd3TM.parquet
smp_UCGBkYTR_2025_9l4AgHRjxBs,UCGBkYTR4tMKS38TQHGWWLjg,9l4AgHRjxBs,2025,2025-03-03T10:00:52+00:00,bin_2_mar_apr,baseline_stratified,80,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCGBkYTR4tMKS38TQHGWWLjg\9l4AgHRjxBs.parquet
smp_UCGBkYTR_2025_Db_he635ysk,UCGBkYTR4tMKS38TQHGWWLjg,Db_he635ysk,2025,2025-05-30T10:00:21+00:00,bin_3_may_jun,baseline_stratified,96,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCGBkYTR4tMKS38TQHGWWLjg\Db_he635ysk.parquet
smp_UCGBkYTR_2025_ayp4CcOeg-k,UCGBkYTR4tMKS38TQHGWWLjg,ayp4CcOeg-k,2025,2025-02-01T10:19:58+00:00,bin_1_jan_feb,baseline_stratified,94,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCGBkYTR4tMKS38TQHGWWLjg\ayp4CcOeg-k.parquet
smp_UCGBkYTR_2025_cQEK9NAITzs,UCGBkYTR4tMKS38TQHGWWLjg,cQEK9NAITzs,2025,2025-10-21T10:00:59+00:00,bin_5_sep_oct,baseline_stratified,98,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCGBkYTR4tMKS38TQHGWWLjg\cQEK9NAITzs.parquet
smp_UCGBkYTR_2025_qCghj_Fe5JU,UCGBkYTR4tMKS38TQHGWWLjg,qCghj_Fe5JU,2025,2025-07-18T10:01:48+00:00,bin_4_jul_aug,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCGBkYTR4tMKS38TQHGWWLjg\qCghj_Fe5JU.parquet
smp_UCGtjAVY_2025_GrTxwq2Og9A,UCGtjAVYcncs1AJ5hQY0gASQ,GrTxwq2Og9A,2025,2025-10-10T08:00:33+00:00,bin_5_sep_oct,baseline_stratified,100,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCGtjAVYcncs1AJ5hQY0gASQ\GrTxwq2Og9A.parquet
