channel_id,name,tier_at_selection,subscriber_count_at_selection,lifecycle_status,agency,selection_reason,selected_at
UCXuiHw-k05CnSu5_DjKUytw,LIVIANA Ch.,S,133000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCutz6S1DcEHPnEb_r9ztkzg,Hinabe HongFei Ch. Pixela Project,S,127000,hiatus,Pixela Project,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCni4SBfvmKlD7bu_ZWDmKiQ,CoolRin CH,S,126000,hiatus,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCpWF1pMyJtMvlynspGnThdw,MamMam Ch. 真夢マム,S,122000,hiatus,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCDCOWpzyBFsavT-K7AmN3MQ,Azato Stacia Ch.,S,122000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCZilc7jP-X_92Fii1uTIs0Q,Hoku Ch.,S,119000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCWU7kvLd_JBaBqO_ilTYd_A,Zekai Ch.【ARP】,S,109000,active,Algorhythm Project,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UC0Ky1U__7T2Z5SOZCvNlJ-Q,Beariss Beam,S,108000,hiatus,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UC7iCSRt7Jej2XE0MaM9gPgg,YuChan Channel ⌜VZ⌟,S,106000,hiatus,Virtual Zeven (VZ),Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCFSkExeBcqI4nb_ArHeByNw,シノライラ - Shino Laila【WACTOR】,S,100000,graduated,WACTOR,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCKPcwla_mvpdBnyjHYTiwoQ,Puipui Memory,A,96400,hiatus,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCOaTgKPjI9cgXLoDW7XFDDw,Princess Zelina Ch. Pixela Project,A,94800,hiatus,Pixela Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCjGGp-gPhMgxgIKxjShbYtA,Terios Ch.,A,94400,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCIxWJ7k2MWKT6sIg3mLjkTg,โป๊ะโกะ / PoKo ปลวกทูปเบ๋อ,A,90400,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCalvpWY2A2P4-h5UIs1jGgA,yoinmori,A,89900,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UClCLRJrlg3F9FOPnUfItZSw,Tatsuki Ch.,A,89700,hiatus,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCcFIthTrwa6N-1ri9sQZstw,Poru Ch.【ARP】,A,89500,active,Algorhythm Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCE010cVAgWFD24wIJ95sDKw,Fumi Hausu,A,88100,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UC8-JXAccuh7DvI_A_lObw-w,Uniinu ch. Euphora,A,87200,active,Euphora Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCtGhO6z6GxqtBZ4gP-3rUpA,TakumaRei「บ่นไปเรื่อย」,A,86300,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCLNBff3KDEUxdfH_lkvyOKQ,Kamiyu Reirin Ch. Lumina-First-Myth,A,86100,active,Lumina Live,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
