wiki_title,page_url,channel_id,in_target_cohort,debut_date_raw,retirement_date_raw,status_raw,agency_raw,has_dates
Peach,https://virtualyoutuber.fandom.com/wiki/Peach,UCklpP4KpgJdCfz4XVe0Nhvg,False,YouTube: 2019/03/10,2023/03/30,,[[HAJITABI]] (Former),True
Pengu,https://virtualyoutuber.fandom.com/wiki/Pengu,UCAnKhwx493i5myddnJFF_gg,True,YouTube: 2020/11,|character_designer = [https://x.com/ninjinshiru ninjinshiru],,Ti19t,True
Polly Manager,https://virtualyoutuber.fandom.com/wiki/Polly%20Manager,,False,|retirement_date    =,|character_designer =,,[[Aisha|Aisha Channel]],True
Ponya Lindström,https://virtualyoutuber.fandom.com/wiki/Ponya%20Lindstr%C3%B6m,,False,2022/09/24,2023/06/30,,[[Parabellum Project]],True
Poppy,https://virtualyoutuber.fandom.com/wiki/Poppy,,False,YouTube: 2021/08/07,|character_designer = First Model,,League of เจอเกรียน แห่งประเทศไทย (League of troll of Thailand),True
Princess Zelina,https://virtualyoutuber.fandom.com/wiki/Princess%20Zelina,UCOaTgKPjI9cgXLoDW7XFDDw,True,YouTube: 2021/03/16,2025/05/09,,[[Pixela]],True
Qualia Qu,https://virtualyoutuber.fandom.com/wiki/Qualia%20Qu,UCXtQTtPJedfjqEPysorbsMg,True,YouTube: 2020/06/29,2022/03/31,,[[Re:AcT]],True
Rera Drago,https://virtualyoutuber.fandom.com/wiki/Rera%20Drago,,False,YouTube: 2021,|character_designer = [https://x.com/Motto_Notto Motto & Notto],,Independent,True
Rion Chitose,https://virtualyoutuber.fandom.com/wiki/Rion%20Chitose,,False,2024/07/27,|character_designer = Illustration: [https://x.com/UEAUWA 501],,[[AStars]],True
S a S a,https://virtualyoutuber.fandom.com/wiki/S%20a%20S%20a,UCPgZ3g9jYeuj5mLBJ5APp0A,False,YouTube: 2021/04/16,|character_designer = Illustration/Designer: Herself,,Independent,True
S1R,https://virtualyoutuber.fandom.com/wiki/S1R,UCiYFmDfFBoAP2yk9yuXBTTg,True,2021/04/09,|character_designer = Illustration: Senwawas and [https://x.com/RUZE15 RUZE15],,[[Algorhythm Project]],True
S1R/L1MOU,https://virtualyoutuber.fandom.com/wiki/S1R/L1MOU,UCiYFmDfFBoAP2yk9yuXBTTg,True,2021/04/09,|character_designer =,,[[Algorhythm Project]],True
Sandblock Virtual Group,https://virtualyoutuber.fandom.com/wiki/Sandblock%20Virtual%20Group,,False,,,,,False
Saria,https://virtualyoutuber.fandom.com/wiki/Saria,UCroF8LjEdRGOerNXLR0ddLA,False,YouTube: 2022/02/17,|character_designer = Illustration: [https://twitter.com/mino_KL mino],,Independent,True
Selene,https://virtualyoutuber.fandom.com/wiki/Selene,UChBuxXl8poN1Jz8kZDdsfhw,True,2021/08/06,|character_designer =,,[[Algorhythm Project]],True
Shimonz,https://virtualyoutuber.fandom.com/wiki/Shimonz,UCt8vlwt6qi6P1mz5uuStJCA,True,2021/04/03,2022/12/22,,Independent,True
Shino Laila,https://virtualyoutuber.fandom.com/wiki/Shino%20Laila,UCFSkExeBcqI4nb_ArHeByNw,True,YouTube: 2021/ 05/09,2022/03/02,,[[WACTOR]],True
Shishiou Seito,https://virtualyoutuber.fandom.com/wiki/Shishiou%20Seito,,False,2025/06/07,|character_designer = Illustration: [https://x.com/pilo_pilo_trpg pilo pilo],,[[AStars]],True
Sienna RE:S,https://virtualyoutuber.fandom.com/wiki/Sienna%20RE%3AS,UCD67JYizIZGNc-1Dsn9eu3A,False,2025/09/27,|character_designer = Illustration: [https://x.com/gnasluv_u04 Gnas],,[[RE:Spaark]],True
Sigmunda Riona,https://virtualyoutuber.fandom.com/wiki/Sigmunda%20Riona,UCMHyqlEwC-IdXCQZht8g44w,False,YouTube: 2023/02/08,|character_designer = Illustrator: [https://twitter.com/kaohom503 KAOHOM],,[[Polygon Project]],True
Sisira Hydrangea,https://virtualyoutuber.fandom.com/wiki/Sisira%20Hydrangea,,False,YouTube: 2021/08/15,,,[[Pixela]],True
Solly,https://virtualyoutuber.fandom.com/wiki/Solly,,False,2021/08/26,|character_designer = Mama: [https://twitter.com/soleil7775 Soleil7775],,[[VTory]],True
Stellar Lynx,https://virtualyoutuber.fandom.com/wiki/Stellar%20Lynx,,False,2020/09/30,2021/10/12,,Xekin Project,True
Superpretty TAKOPERO,https://virtualyoutuber.fandom.com/wiki/Superpretty%20TAKOPERO,UCktUGMC7AKl1e8n20Ys8w0Q,True,YouTube: 2022/01/06,|character_designer =,,[[Pixela]],True
TaengKwa,https://virtualyoutuber.fandom.com/wiki/TaengKwa,UCDki34ncCre0xPgf1JCkqCA,False,YouTube: 2021/12/03,2022/11/30 (as Taeng Kwa),,[https://twitter.com/IGNITEVOfficial IGNITE PROJECT],True
TailBlade,https://virtualyoutuber.fandom.com/wiki/TailBlade,UCepIXUC8KUvonowbahgMsQA,False,YouTube: 2022/05/12,|character_designer = Illustration/Designer:,,Independent,True
Takane Lui,https://virtualyoutuber.fandom.com/wiki/Takane%20Lui,UCs9_O1tRPMQTHQ-N_L6FU2g,False,YouTube: 2021/11/27,|character_designer = Illustration:,,[[hololive]],True
Tatsugami Zuii,https://virtualyoutuber.fandom.com/wiki/Tatsugami%20Zuii,UC6JIG9kjnF3ml6gLudTyzuA,False,YouTube: 2020/09/20,2021/07/30,,[[Easter:Egg]],True
Tiara Rexa,https://virtualyoutuber.fandom.com/wiki/Tiara%20Rexa,,False,YouTube: 2023/03/03,2026/06/01,,[[Polygon Project]],True
Tiern,https://virtualyoutuber.fandom.com/wiki/Tiern,,False,2022/07/22,|character_designer = Illustration: [https://twitter.com/fujiko_shiro Shiro D Fujiko],,[[VTory]],True
Toru Kuma,https://virtualyoutuber.fandom.com/wiki/Toru%20Kuma,UC0vtaaMk6-hGYcx4QWoMymg,False,YouTube: 2021/04/12,|character_designer = Character and design: [https://x.com/sayo_ri99 sayori],,Independent,True
Tsontaya Knox,https://virtualyoutuber.fandom.com/wiki/Tsontaya%20Knox,,False,2020/12/12,|character_designer = Illust: [https://x.com/aka_sl2 Aka_sl2],,Independent,True
Unnämed,https://virtualyoutuber.fandom.com/wiki/Unn%C3%A4med,,False,2022/12/18,|character_designer = Illustration: [https://twitter.com/Kanishiima Kani],,Independent,True
Ursa Scorpio,https://virtualyoutuber.fandom.com/wiki/Ursa%20Scorpio,UC_XyNfXasr_yngj3VOJU3dg,False,2023/05/10 (Model 1.0),|character_designer = Character Designer: [https://twitter.com/phexwsz Phew],,Independent,True
Vanila Mali,https://virtualyoutuber.fandom.com/wiki/Vanila%20Mali,UCSdV0wKlfljMvRY3mFVn1ZQ,False,YouTube: 2021/01/13,2021/06/03,,[https://www.facebook.com/destinesia.project Destinesia Project],True
Varin Rattanavisut,https://virtualyoutuber.fandom.com/wiki/Varin%20Rattanavisut,,False,YouTube: 2020/09/19,|character_designer =,,Independent,True
VTory,https://virtualyoutuber.fandom.com/wiki/VTory,,False,,,,,False
Wanissa,https://virtualyoutuber.fandom.com/wiki/Wanissa,,False,2021/09/18,2023/06/30,,[[VTory]],True
Wanjan,https://virtualyoutuber.fandom.com/wiki/Wanjan,,False,2022/09/22,|character_designer = Illustration: [https://twitter.com/_chiachiachia @_chiachiachia],,[[VTory]],True
