event_id,creator_channel_id,creator_name,agency,event_type,event_date,event_year,evidence_tier,creator_source_class,verification_status,source_type,source_reference,retrieved_at,notes
evt_first_observed_UCL7lolCif_20230806,UCL7lolCifod5V21pPzR3K-w,Magnum Ch.【ARP】,Algorhythm Project,FIRST_OBSERVED,2023-08-06,2023,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2023-08-06 09:06:34+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2023-08-06 09:06:34+00:00). Not verified debut stream.
evt_debut_UCpNkVsMls_20210312,UCpNkVsMlsJRF792H-1_1vPA,Melita X Ch. Pixela Project,Pixela Project,DEBUT,2021-03-12,2021,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,EXTERNAL_WIKI_AND_YOUTUBE,https://virtualyoutuber.fandom.com/wiki/Melita_X,2026-09-09T05:30:40.708062+00:00,Debuted on 2021-03-12 as Pixela 1st Generation member.
evt_graduation_UCpNkVsMls_20231130,UCpNkVsMlsJRF792H-1_1vPA,Melita X Ch. Pixela Project,Pixela Project,GRADUATION,2023-11-30,2023,PRIMARY_EVENT_SPECIFIC,PRIMARY_OFFICIAL_ANNOUNCEMENT,PRIMARY_EVENT_SPECIFIC,OFFICIAL_AGENCY_ANNOUNCEMENT,https://x.com/PixelaProject/status/1723657388706857187,2026-09-09T05:30:40.708062+00:00,Retired on 2023-11-30.
evt_debut_UCMUtWzsjA_20210314,UCMUtWzsjAQJgp6UlkbVSo1w,Laguna JuJu Ch. Pixela Project,Pixela Project,DEBUT,2021-03-14,2021,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,EXTERNAL_WIKI_AND_YOUTUBE,https://virtualyoutuber.fandom.com/wiki/Laguna_Juju,2026-09-09T05:30:40.708062+00:00,Debuted on 2021-03-14 as Pixela 1st Generation member.
evt_graduation_UCMUtWzsjA_20231129,UCMUtWzsjAQJgp6UlkbVSo1w,Laguna JuJu Ch. Pixela Project,Pixela Project,GRADUATION,2023-11-29,2023,PRIMARY_EVENT_SPECIFIC,PRIMARY_OFFICIAL_ANNOUNCEMENT,PRIMARY_EVENT_SPECIFIC,OFFICIAL_AGENCY_ANNOUNCEMENT,https://x.com/PixelaProject/status/1723657388706857187,2026-09-09T05:30:40.708062+00:00,Retired on 2023-11-29.
evt_first_observed_UCEMqL-RYg_20210228,UCEMqL-RYgeAEhTMUJeHfkaw,Toru Kumaトルくま,Independent,FIRST_OBSERVED,2021-02-28,2021,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2021-02-28 17:21:17+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2021-02-28 17:21:17+00:00). Not verified debut stream.
evt_first_observed_UCatSdbBdn_20200317,UCatSdbBdnsXgFpCyhJ7jYGg,Darin V,Independent,FIRST_OBSERVED,2020-03-17,2020,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2020-03-17 09:00:02+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2020-03-17 09:00:02+00:00). Not verified debut stream.
evt_first_observed_UCcRaKGCG3_20201104,UCcRaKGCG3RFenb8D2php_Jw,Pixela Official,Pixela Project,FIRST_OBSERVED,2020-11-04,2020,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2020-11-04 04:56:30+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2020-11-04 04:56:30+00:00). Not verified debut stream.
evt_first_observed_UCY3reV-jw_20070209,UCY3reV-jwagniwcghy1B4VA,Nicca Ch.,Independent,FIRST_OBSERVED,2007-02-09,2007,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2007-02-09 08:08:49+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2007-02-09 08:08:49+00:00). Not verified debut stream.
evt_hiatus_observed_proxy_UCY3reV-jw_20250326,UCY3reV-jwagniwcghy1B4VA,Nicca Ch.,Independent,HIATUS_OBSERVED_PROXY,2025-03-26,2025,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,REGISTRY_INACTIVITY_PROXY,thai_vtuber_registry.json:last_video_published_at=2025-03-26T10:08:26+00:00,2026-09-09T05:30:40.708062+00:00,Observed hiatus boundary based on last public activity recorded on 2025-03-26 (>180d inactive).
evt_first_observed_UCmg0gZHGn_20211025,UCmg0gZHGn-zuq1JnYPB_EjQ,TEENIE | WISLIVE,Independent,FIRST_OBSERVED,2021-10-25,2021,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2021-10-25 10:44:32+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2021-10-25 10:44:32+00:00). Not verified debut stream.
evt_hiatus_observed_proxy_UCmg0gZHGn_20241103,UCmg0gZHGn-zuq1JnYPB_EjQ,TEENIE | WISLIVE,Independent,HIATUS_OBSERVED_PROXY,2024-11-03,2024,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,REGISTRY_INACTIVITY_PROXY,thai_vtuber_registry.json:last_video_published_at=2024-11-03T14:24:47+00:00,2026-09-09T05:30:40.708062+00:00,Observed hiatus boundary based on last public activity recorded on 2024-11-03 (>180d inactive).
evt_first_observed_UCbeaB9MoD_20190823,UCbeaB9MoD9IyXqBshyQuNRQ,Nerumi-s,Independent,FIRST_OBSERVED,2019-08-23,2019,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2019-08-23 21:57:42+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2019-08-23 21:57:42+00:00). Not verified debut stream.
